Event Type,Button/Key,Action,Position,Timestamp
Mouse,(Move),Moved,(298, 1123),2025-03-26 02:30:44
Mouse,(Move),Moved,(299, 1127),2025-03-26 02:30:44
Mouse,(Move),Moved,(300, 1130),2025-03-26 02:30:44
Mouse,(Move),Moved,(300, 1131),2025-03-26 02:30:44
Mouse,(Move),Moved,(301, 1133),2025-03-26 02:30:44
Mouse,(Move),Moved,(302, 1133),2025-03-26 02:30:44
Mouse,(Move),Moved,(334, 1126),2025-03-26 02:30:45
Mouse,(Move),Moved,(334, 1126),2025-03-26 02:30:45
Mouse,(Move),Moved,(348, 1104),2025-03-26 02:30:45
Mouse,(Move),Moved,(362, 1083),2025-03-26 02:30:45
Mouse,(Move),Moved,(379, 1058),2025-03-26 02:30:45
Mouse,(Move),Moved,(395, 1033),2025-03-26 02:30:45
Mouse,(Move),Moved,(413, 1010),2025-03-26 02:30:45
Mouse,(Move),Moved,(436, 985),2025-03-26 02:30:45
Mouse,(Move),Moved,(457, 958),2025-03-26 02:30:45
Mouse,(Move),Moved,(478, 932),2025-03-26 02:30:45
Mouse,(Move),Moved,(499, 912),2025-03-26 02:30:45
Mouse,(Move),Moved,(516, 890),2025-03-26 02:30:45
Mouse,(Move),Moved,(532, 871),2025-03-26 02:30:45
Mouse,(Move),Moved,(539, 864),2025-03-26 02:30:45
Mouse,(Move),Moved,(545, 858),2025-03-26 02:30:45
Mouse,(Move),Moved,(554, 847),2025-03-26 02:30:45
Mouse,(Move),Moved,(559, 841),2025-03-26 02:30:45
Mouse,(Move),Moved,(570, 827),2025-03-26 02:30:45
Mouse,(Move),Moved,(582, 811),2025-03-26 02:30:45
Mouse,(Move),Moved,(585, 803),2025-03-26 02:30:45
Mouse,(Move),Moved,(590, 794),2025-03-26 02:30:45
Mouse,(Move),Moved,(594, 787),2025-03-26 02:30:46
Mouse,(Move),Moved,(603, 774),2025-03-26 02:30:46
Mouse,(Move),Moved,(607, 759),2025-03-26 02:30:46
Mouse,(Move),Moved,(612, 746),2025-03-26 02:30:46
Mouse,(Move),Moved,(614, 735),2025-03-26 02:30:46
Mouse,(Move),Moved,(617, 727),2025-03-26 02:30:46
Mouse,(Move),Moved,(621, 719),2025-03-26 02:30:46
Mouse,(Move),Moved,(627, 708),2025-03-26 02:30:46
Mouse,(Move),Moved,(632, 702),2025-03-26 02:30:46
Mouse,(Move),Moved,(637, 693),2025-03-26 02:30:46
Mouse,(Move),Moved,(643, 682),2025-03-26 02:30:46
Mouse,(Move),Moved,(653, 662),2025-03-26 02:30:46
Mouse,(Move),Moved,(663, 644),2025-03-26 02:30:46
Mouse,(Move),Moved,(674, 623),2025-03-26 02:30:46
Mouse,(Move),Moved,(685, 600),2025-03-26 02:30:46
Mouse,(Move),Moved,(694, 577),2025-03-26 02:30:46
Mouse,(Move),Moved,(701, 568),2025-03-26 02:30:46
Mouse,(Move),Moved,(706, 559),2025-03-26 02:30:46
Mouse,(Move),Moved,(712, 550),2025-03-26 02:30:46
Mouse,(Move),Moved,(724, 530),2025-03-26 02:30:46
Mouse,(Move),Moved,(729, 521),2025-03-26 02:30:46
Mouse,(Move),Moved,(734, 514),2025-03-26 02:30:46
Mouse,(Move),Moved,(740, 506),2025-03-26 02:30:46
Mouse,(Move),Moved,(745, 498),2025-03-26 02:30:46
Mouse,(Move),Moved,(747, 494),2025-03-26 02:30:46
Mouse,(Move),Moved,(747, 493),2025-03-26 02:30:46
